year,age,school,group,topic,count
2018,010,2,9,133500,0
2018,010,3,1,133500,..C
2018,010,3,2,133500,..C
2018,010,3,9,133500,0
2018,010,4,1,133500,..C
2018,010,4,2,133500,..C
2018,010,4,9,133500,3
2018,010,5,1,133500,..C
2018,010,5,2,133500,..C
2018,010,5,9,133500,0
2018,010,6,1,133500,..C
2018,010,6,2,133500,..C
2018,010,6,9,133500,0
2018,010,9,1,133500,..C
2018,010,9,2,133500,..C
2018,010,9,9,133500,0
2018,010,77,1,133500,..C
2018,010,77,2,133500,..C
2018,010,77,9,133500,3
2018,010,9999,1,133500,3
2018,010,9999,2,133500,3
2018,010,9999,9,133500,3
2018,010,1,1,133600,15
2018,010,1,2,133600,12
2018,010,1,9,133600,27
2018,010,2,1,133600,3
2018,010,2,2,133600,3
2018,010,2,9,133600,6
2018,010,3,1,133600,6
2018,010,3,2,133600,3
2018,010,3,9,133600,6
2018,010,4,1,133600,3
2018,010,4,2,133600,3
2018,010,4,9,133600,9
2018,010,5,1,133600,0
2018,010,5,2,133600,0
2018,010,5,9,133600,0
2018,010,6,1,133600,0
2018,010,6,2,133600,0
2018,010,6,9,133600,0
2018,010,9,1,133600,0
2018,010,9,2,133600,0
2018,010,9,9,133600,0
2018,010,77,1,133600,15
2018,010,77,2,133600,15
2018,010,77,9,133600,33
2018,010,9999,1,133600,15
2018,010,9999,2,133600,15
2018,010,9999,9,133600,33
2018,010,1,1,133700,..C
2018,010,1,2,133700,..C
2018,010,1,9,133700,3
2018,010,2,1,133700,..C
2018,010,2,2,133700,..C
2018,010,2,9,133700,0
2018,010,3,1,133700,..C
2018,010,3,2,133700,..C
2018,010,3,9,133700,3
2018,010,4,1,133700,..C
2018,010,4,2,133700,..C
2018,010,4,9,133700,0
2018,010,5,1,133700,..C
2018,010,5,2,133700,..C
2018,010,5,9,133700,0
2018,010,6,1,133700,..C
2018,010,6,2,133700,..C
2018,010,6,9,133700,0
2018,010,9,1,133700,..C
2018,010,9,2,133700,..C
2018,010,9,9,133700,0
2018,010,77,1,133700,..C
2018,010,77,2,133700,..C
2018,010,77,9,133700,3
2018,010,9999,1,133700,3
2018,010,9999,2,133700,3
2018,010,9999,9,133700,3
2018,010,1,1,133800,..C
2018,010,1,2,133800,..C
2018,010,1,9,133800,3
2018,010,2,1,133800,..C
2018,010,2,2,133800,..C
2018,010,2,9,133800,0
2018,010,3,1,133800,..C
2018,010,3,2,133800,..C
2018,010,3,9,133800,0
2018,010,4,1,133800,..C
2018,010,4,2,133800,..C
2018,010,4,9,133800,3
2018,010,5,1,133800,..C
2018,010,5,2,133800,..C
2018,010,5,9,133800,0
2018,010,6,1,133800,..C
2018,010,6,2,133800,..C
2018,010,6,9,133800,0
2018,010,9,1,133800,..C
2018,010,9,2,133800,..C
2018,010,9,9,133800,0
2018,010,77,1,133800,..C
2018,010,77,2,133800,..C
2018,010,77,9,133800,3
2018,010,9999,1,133800,0
2018,010,9999,2,133800,3
2018,010,9999,9,133800,3
